ID,exp_no,rep,dens,rearing_vessel,temp,food_level,treatment,feeding_interval,egg_sub,l_emerg,l_emerg_days_frm_sub,l_death,l_surv,pupal_ref,p_emerg,l_to_p_devtime,l_to_p_devrate,p_death,p_surv,a_emerg,p_to_a_devtime,p_to_a_devrate,a_death,adult_lifespan,adult_mort_rate,hatch_to_a_devtime,hatch_to_adult_devrate,sex,im_surv,j_lifetime,total_lifespan,length_mm
4,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,1,26/04/2019 12:00,28,0.035714286,NA,0,29/04/2019 12:00,3,0.333333333,07/05/2019 12:00,8,0.125,31,0.032258065,female,0,31,39,2.93
6,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,3,27/04/2019 12:00,29,0.034482759,NA,0,30/04/2019 12:00,3,0.333333333,05/05/2019 12:00,5,0.2,32,0.03125,female,0,32,37,2.59
7,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,4,28/04/2019 12:00,30,0.033333333,NA,0,01/05/2019 12:00,3,0.333333333,06/05/2019 12:00,5,0.2,33,0.03030303,female,0,33,38,2.41
11,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,7,02/05/2019 12:00,34,0.029411765,NA,0,05/05/2019 12:00,3,0.333333333,11/05/2019 12:00,6,0.166666667,37,0.027027027,female,0,37,43,2.62
11,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,2,28/04/2019 12:00,30,0.033333333,NA,0,01/05/2019 12:00,3,0.333333333,05/05/2019 12:00,4,0.25,33,0.03030303,female,0,33,37,2.28
12,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,8,02/05/2019 12:00,34,0.029411765,NA,0,05/05/2019 12:00,3,0.333333333,11/05/2019 12:00,6,0.166666667,37,0.027027027,female,0,37,43,2.39
19,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,12,03/05/2019 12:00,35,0.028571429,NA,0,06/05/2019 12:00,3,0.333333333,15/05/2019 12:00,9,0.111111111,38,0.026315789,female,0,38,47,2.99
20,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,13,04/05/2019 12:00,36,0.027777778,NA,0,08/05/2019 12:00,4,0.25,09/05/2019 12:00,1,1,40,0.025,female,0,40,41,2.5
16,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,6,30/04/2019 12:00,32,0.03125,NA,0,03/05/2019 12:00,3,0.333333333,10/05/2019 12:00,7,0.142857143,35,0.028571429,female,0,35,42,2.75
21,3,A,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,14,04/05/2019 12:00,36,0.027777778,NA,0,07/05/2019 12:00,3,0.333333333,14/05/2019 12:00,7,0.142857143,39,0.025641026,female,0,39,46,2.82
17,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,3,27/04/2019 12:00,29,0.034482759,NA,0,30/04/2019 12:00,3,0.333333333,07/05/2019 12:00,7,0.142857143,32,0.03125,female,0,32,39,2.66
18,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,4,28/04/2019 12:00,30,0.033333333,NA,0,01/05/2019 12:00,3,0.333333333,06/05/2019 12:00,5,0.2,33,0.03030303,female,0,33,38,2.31
18,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,7,01/05/2019 12:00,33,0.03030303,NA,0,05/05/2019 12:00,4,0.25,14/05/2019 12:00,9,0.111111111,37,0.027027027,female,0,37,46,2.84
27,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,12,04/05/2019 12:00,36,0.027777778,NA,0,07/05/2019 12:00,3,0.333333333,14/05/2019 12:00,7,0.142857143,39,0.025641026,female,0,39,46,2.79
28,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,13,04/05/2019 12:00,36,0.027777778,NA,0,07/05/2019 12:00,3,0.333333333,14/05/2019 12:00,7,0.142857143,39,0.025641026,female,0,39,46,2.68
19,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,5,30/04/2019 12:00,32,0.03125,NA,0,03/05/2019 12:00,3,0.333333333,09/05/2019 12:00,6,0.166666667,35,0.028571429,female,0,35,41,2.33
19,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,8,02/05/2019 12:00,34,0.029411765,NA,0,05/05/2019 12:00,3,0.333333333,13/05/2019 12:00,8,0.125,37,0.027027027,female,0,37,45,2.84
20,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,9,03/05/2019 12:00,35,0.028571429,NA,0,06/05/2019 12:00,3,0.333333333,15/05/2019 12:00,9,0.111111111,38,0.026315789,female,0,38,47,2.73
21,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,10,03/05/2019 12:00,35,0.028571429,NA,0,06/05/2019 12:00,3,0.333333333,17/05/2019 12:00,11,0.090909091,38,0.026315789,female,0,38,49,2.91
22,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,04/05/2019 12:00,36,0.027777778,NA,0,07/05/2019 12:00,3,0.333333333,13/05/2019 12:00,6,0.166666667,39,0.025641026,female,0,39,45,2.79
25,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,10,03/05/2019 12:00,35,0.028571429,NA,0,06/05/2019 12:00,3,0.333333333,14/05/2019 12:00,8,0.125,38,0.026315789,female,0,38,46,2.89
26,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,03/05/2019 12:00,35,0.028571429,NA,0,06/05/2019 12:00,3,0.333333333,14/05/2019 12:00,8,0.125,38,0.026315789,female,0,38,46,2.66
23,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,12,05/05/2019 12:00,37,0.027027027,NA,0,09/05/2019 12:00,4,0.25,12/05/2019 12:00,3,0.333333333,41,0.024390244,female,0,41,44,2.3
9,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,5,03/04/2019 12:00,5,0.2,NA,0,06/04/2019 12:00,3,0.333333333,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,3.06
9,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,6,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,24/04/2019 12:00,15,0.066666667,11,0.090909091,female,0,11,26,3.23
10,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,7,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,20/04/2019 12:00,11,0.090909091,11,0.090909091,female,0,11,22,3.12
10,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,6,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,14/04/2019 12:00,8,0.125,8,0.125,female,0,8,16,3.02
11,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,7,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,10/04/2019 12:00,4,0.25,8,0.125,female,0,8,12,2.85
12,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,8,04/04/2019 12:00,6,0.166666667,NA,0,07/04/2019 12:00,3,0.333333333,13/04/2019 12:00,6,0.166666667,9,0.111111111,female,0,9,15,2.8
19,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,16,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,24/04/2019 12:00,14,0.071428571,12,0.083333333,female,0,12,26,3.23
20,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,17,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,22/04/2019 12:00,12,0.083333333,12,0.083333333,female,0,12,24,3.17
3,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,1,05/04/2019 12:00,7,0.142857143,NA,0,09/04/2019 12:00,4,0.25,20/04/2019 12:00,11,0.090909091,11,0.090909091,female,0,11,22,3.09
4,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,2,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,21/04/2019 12:00,12,0.083333333,11,0.090909091,female,0,11,23,3.08
6,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,4,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,18/04/2019 12:00,9,0.111111111,11,0.090909091,female,0,11,20,3.14
12,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,10,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,21/04/2019 12:00,12,0.083333333,11,0.090909091,female,0,11,23,3.27
13,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,20/04/2019 12:00,11,0.090909091,11,0.090909091,female,0,11,22,3.26
16,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,14,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,18/04/2019 12:00,8,0.125,12,0.083333333,female,0,12,20,3.03
18,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,16,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,23/04/2019 12:00,13,0.076923077,12,0.083333333,female,0,12,25,NA
20,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,18,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.11
22,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,22/04/2019 12:00,12,0.083333333,12,0.083333333,female,0,12,24,3.1
23,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,21,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,25/04/2019 12:00,15,0.066666667,12,0.083333333,female,0,12,27,3.19
25,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,23,07/04/2019 12:00,9,0.111111111,NA,0,11/04/2019 12:00,4,0.25,24/04/2019 12:00,13,0.076923077,13,0.076923077,female,0,13,26,NA
26,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,24,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,23/04/2019 12:00,13,0.076923077,12,0.083333333,female,0,12,25,3.13
27,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,25,08/04/2019 12:00,10,0.1,NA,0,12/04/2019 12:00,4,0.25,24/04/2019 12:00,12,0.083333333,14,0.071428571,female,0,14,26,3.26
28,3,B,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,26,10/04/2019 12:00,12,0.083333333,NA,0,14/04/2019 12:00,4,0.25,29/04/2019 12:00,15,0.066666667,16,0.0625,female,0,16,31,2.97
8,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,5,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,18/04/2019 12:00,9,0.111111111,11,0.090909091,female,0,11,20,3.05
14,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,06/04/2019 12:00,8,0.125,NA,0,09/04/2019 12:00,3,0.333333333,19/04/2019 12:00,10,0.1,11,0.090909091,female,0,11,21,3.2
15,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,12,06/04/2019 12:00,8,0.125,NA,0,10/04/2019 12:00,4,0.25,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.21
16,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,13,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,20/04/2019 12:00,10,0.1,12,0.083333333,female,0,12,22,3.09
17,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,14,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.06
19,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,16,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,17/04/2019 12:00,7,0.142857143,12,0.083333333,female,0,12,19,3.13
22,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,19,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.19
23,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,21/04/2019 12:00,11,0.090909091,12,0.083333333,female,0,12,23,3.21
24,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,21,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,20/04/2019 12:00,10,0.1,12,0.083333333,female,0,12,22,3.02
25,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,22,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,20/04/2019 12:00,10,0.1,12,0.083333333,female,0,12,22,3.08
29,3,C,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,25,08/04/2019 12:00,10,0.1,NA,0,11/04/2019 12:00,3,0.333333333,21/04/2019 12:00,10,0.1,13,0.076923077,female,0,13,23,3.27
7,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,1,17/04/2019 12:00,18,0.055555556,NA,0,20/04/2019 12:00,3,0.333333333,26/04/2019 12:00,6,0.166666667,21,0.047619048,female,0,21,27,2.07
8,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,19/04/2019 12:00,20,0.05,NA,0,22/04/2019 12:00,3,0.333333333,01/05/2019 12:00,9,0.111111111,23,0.043478261,female,0,23,32,2.3
15,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,24/04/2019 12:00,25,0.04,NA,0,27/04/2019 12:00,3,0.333333333,04/05/2019 12:00,7,0.142857143,28,0.035714286,female,0,28,35,2.67
13,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,9,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,NA
16,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,5,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,02/05/2019 12:00,4,0.25,29,0.034482759,female,0,29,33,2.41
17,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,27/04/2019 12:00,28,0.035714286,NA,0,29/04/2019 12:00,2,0.5,02/05/2019 12:00,3,0.333333333,30,0.033333333,female,0,30,33,2.4
26,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,8,30/04/2019 12:00,31,0.032258065,NA,0,02/05/2019 12:00,2,0.5,07/05/2019 12:00,5,0.2,33,0.03030303,female,0,33,38,2.48
27,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,01/05/2019 12:00,32,0.03125,NA,0,04/05/2019 12:00,3,0.333333333,11/05/2019 12:00,7,0.142857143,35,0.028571429,female,0,35,42,2.66
23,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,10,30/04/2019 12:00,31,0.032258065,NA,0,02/05/2019 12:00,2,0.5,06/05/2019 12:00,4,0.25,33,0.03030303,female,0,33,37,2.36
14,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,11,25/04/2019 12:00,26,0.038461538,NA,0,27/04/2019 12:00,2,0.5,02/05/2019 12:00,5,0.2,28,0.035714286,female,0,28,33,2.29
29,3,A,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,12,30/04/2019 12:00,31,0.032258065,NA,0,02/05/2019 12:00,2,0.5,06/05/2019 12:00,4,0.25,33,0.03030303,female,0,33,37,2.24
12,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,1,18/04/2019 12:00,19,0.052631579,NA,0,20/04/2019 12:00,2,0.5,28/04/2019 12:00,8,0.125,21,0.047619048,female,0,21,29,2.45
13,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,22/04/2019 12:00,23,0.043478261,NA,0,24/04/2019 12:00,2,0.5,02/05/2019 12:00,8,0.125,25,0.04,female,0,25,33,2.62
17,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,24/04/2019 12:00,25,0.04,NA,0,26/04/2019 12:00,2,0.5,02/05/2019 12:00,6,0.166666667,27,0.037037037,female,0,27,33,2.73
18,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,25/04/2019 12:00,26,0.038461538,NA,0,27/04/2019 12:00,2,0.5,02/05/2019 12:00,5,0.2,28,0.035714286,female,0,28,33,2.6
19,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,7,26/04/2019 12:00,27,0.037037037,NA,0,29/04/2019 12:00,3,0.333333333,02/05/2019 12:00,3,0.333333333,30,0.033333333,female,0,30,33,2.3
20,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,02/05/2019 12:00,4,0.25,29,0.034482759,female,0,29,33,2.41
22,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,11,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,01/05/2019 12:00,3,0.333333333,29,0.034482759,female,0,29,32,2.35
24,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,12,27/04/2019 12:00,28,0.035714286,NA,0,29/04/2019 12:00,2,0.5,03/05/2019 12:00,4,0.25,30,0.033333333,female,0,30,34,2.26
5,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,13,24/04/2019 12:00,25,0.04,NA,0,26/04/2019 12:00,2,0.5,30/04/2019 12:00,4,0.25,27,0.037037037,female,0,27,31,2.36
