ID,exp_no,rep,dens,rearing_vessel,temp,food_level,treatment,feeding_interval,egg_sub,l_emerg,l_emerg_days_frm_sub,l_death,l_surv,pupal_ref,p_emerg,l_to_p_devtime,l_to_p_devrate,p_death,p_surv,a_emerg,p_to_a_devtime,p_to_a_devrate,a_death,adult_lifespan,adult_mort_rate,hatch_to_a_devtime,hatch_to_adult_devrate,sex,im_surv,j_lifetime,total_lifespan,length_mm
3,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,19/04/2019 12:00,20,0.05,NA,0,21/04/2019 12:00,2,0.5,26/04/2019 12:00,5,0.2,22,0.045454545,female,0,22,27,2.03
4,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,3,20/04/2019 12:00,21,0.047619048,NA,0,22/04/2019 12:00,2,0.5,29/04/2019 12:00,7,0.142857143,23,0.043478261,female,0,23,30,2.54
9,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,24/04/2019 12:00,25,0.04,NA,0,26/04/2019 12:00,2,0.5,01/05/2019 12:00,5,0.2,27,0.037037037,female,0,27,32,2.51
12,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,25/04/2019 12:00,26,0.038461538,NA,0,27/04/2019 12:00,2,0.5,05/05/2019 12:00,8,0.125,28,0.035714286,female,0,28,36,2.77
30,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,8,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,05/05/2019 12:00,7,0.142857143,29,0.034482759,female,0,29,36,2.62
18,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,01/05/2019 12:00,32,0.03125,NA,0,03/05/2019 12:00,2,0.5,12/05/2019 12:00,9,0.111111111,34,0.029411765,female,0,34,43,2.63
15,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.9
16,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,12,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,13/04/2019 12:00,7,0.142857143,8,0.125,female,0,8,15,2.93
19,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,15,04/04/2019 12:00,6,0.166666667,NA,0,07/04/2019 12:00,3,0.333333333,13/04/2019 12:00,6,0.166666667,9,0.111111111,female,0,9,15,2.95
21,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,18,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,19/04/2019 12:00,9,0.111111111,12,0.083333333,female,0,12,21,3.09
22,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,19,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,22/04/2019 12:00,12,0.083333333,12,0.083333333,female,0,12,24,3.18
9,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,6,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.96
12,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,9,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.79
14,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,13/04/2019 12:00,7,0.142857143,8,0.125,female,0,8,15,2.92
21,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,18,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,13/04/2019 12:00,7,0.142857143,8,0.125,female,0,8,15,3.02
23,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.86
26,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,23,04/04/2019 12:00,6,0.166666667,NA,0,07/04/2019 12:00,3,0.333333333,13/04/2019 12:00,6,0.166666667,9,0.111111111,female,0,9,15,3.04
30,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,27,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,14/04/2019 12:00,7,0.142857143,9,0.111111111,female,0,9,16,2.87
8,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,5,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.71
9,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,6,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.95
10,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,7,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.94
11,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,8,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.88
14,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.89
21,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,18,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,13/04/2019 12:00,6,0.166666667,9,0.111111111,female,0,9,15,2.94
22,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,19,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,16/04/2019 12:00,9,0.111111111,9,0.111111111,female,0,9,18,2.83
23,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,14/04/2019 12:00,7,0.142857143,9,0.111111111,female,0,9,16,2.87
24,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,21,05/04/2019 12:00,7,0.142857143,NA,0,06/04/2019 12:00,1,1,13/04/2019 12:00,7,0.142857143,8,0.125,female,0,8,15,NA
25,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,22,05/04/2019 12:00,7,0.142857143,NA,0,08/04/2019 12:00,3,0.333333333,17/04/2019 12:00,9,0.111111111,10,0.1,female,0,10,19,3.06
26,3,C,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,23,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,17/04/2019 12:00,10,0.1,9,0.111111111,female,0,9,19,3.09
21,3,A,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,3,19/04/2019 12:00,20,0.05,NA,0,21/04/2019 12:00,2,0.5,23/04/2019 12:00,2,0.5,22,0.045454545,female,0,22,24,2.03
23,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,20/04/2019 12:00,10,0.1,12,0.083333333,female,0,12,22,3.14
26,3,A,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,08/04/2019 12:00,9,0.111111111,NA,0,09/04/2019 12:00,1,1,10/04/2019 12:00,1,1,10,0.1,female,0,10,11,2.41
22,3,B,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,19/04/2019 12:00,20,0.05,NA,0,20/04/2019 12:00,1,1,22/04/2019 12:00,2,0.5,21,0.047619048,female,0,21,23,2.28
26,3,B,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,23/04/2019 12:00,24,0.041666667,NA,0,25/04/2019 12:00,2,0.5,27/04/2019 12:00,2,0.5,26,0.038461538,female,0,26,28,2.45
30,3,B,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,25/04/2019 12:00,26,0.038461538,NA,0,26/04/2019 12:00,1,1,27/04/2019 12:00,1,1,27,0.037037037,female,0,27,28,2.38
7,3,C,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,1,08/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,2,0.5,13/04/2019 12:00,3,0.333333333,11,0.090909091,female,0,11,14,2.25
10,3,C,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,12/04/2019 12:00,13,0.076923077,NA,0,14/04/2019 12:00,2,0.5,17/04/2019 12:00,3,0.333333333,15,0.066666667,female,0,15,18,2.07
24,3,C,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,8,24/04/2019 12:00,25,0.04,NA,0,25/04/2019 12:00,1,1,27/04/2019 12:00,2,0.5,26,0.038461538,female,0,26,28,2.35
25,3,C,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,24/04/2019 12:00,25,0.04,NA,0,25/04/2019 12:00,1,1,27/04/2019 12:00,2,0.5,26,0.038461538,female,0,26,28,2.27
30,3,A,0.2,tub,32,0.1,32_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,23/04/2019 12:00,24,0.041666667,NA,0,25/04/2019 12:00,2,0.5,26/04/2019 12:00,1,1,26,0.038461538,female,0,26,27,2.29
24,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,21,07/04/2019 12:00,9,0.111111111,NA,0,11/04/2019 12:00,4,0.25,24/04/2019 12:00,13,0.076923077,13,0.076923077,female,0,13,26,3.07
10,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,02/04/2019 12:00,3,0.333333333,NA,0,04/04/2019 12:00,2,0.5,07/04/2019 12:00,3,0.333333333,5,0.2,female,0,5,8,2.56
14,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,8,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,07/04/2019 12:00,2,0.5,6,0.166666667,female,0,6,8,2.64
23,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,19,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,15/04/2019 12:00,8,0.125,9,0.111111111,female,0,9,17,3.03
18,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,12,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,09/04/2019 12:00,4,0.25,6,0.166666667,female,0,6,10,2.65
19,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,13,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,09/04/2019 12:00,4,0.25,6,0.166666667,female,0,6,10,2.52
25,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,22,08/04/2019 12:00,10,0.1,NA,0,11/04/2019 12:00,3,0.333333333,23/04/2019 12:00,12,0.083333333,13,0.076923077,female,0,13,25,3.12
20,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,14,03/04/2019 12:00,4,0.25,NA,0,04/04/2019 12:00,1,1,07/04/2019 12:00,3,0.333333333,5,0.2,female,0,5,8,2.63
24,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,05/04/2019 12:00,7,0.142857143,NA,0,08/04/2019 12:00,3,0.333333333,15/04/2019 12:00,7,0.142857143,10,0.1,female,0,10,17,2.92
26,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,23,08/04/2019 12:00,10,0.1,NA,0,11/04/2019 12:00,3,0.333333333,18/04/2019 12:00,7,0.142857143,13,0.076923077,female,0,13,20,2.98
23,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,17,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,08/04/2019 12:00,3,0.333333333,6,0.166666667,female,0,6,9,2.56
24,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,18,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,06/04/2019 12:00,1,1,6,0.166666667,female,0,6,7,2.59
27,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,24,08/04/2019 12:00,10,0.1,NA,0,11/04/2019 12:00,3,0.333333333,25/04/2019 12:00,14,0.071428571,13,0.076923077,female,0,13,27,3.15
27,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,21,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,07/04/2019 12:00,2,0.5,6,0.166666667,female,0,6,8,2.48
29,3,A,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,22,04/04/2019 12:00,5,0.2,NA,0,05/04/2019 12:00,1,1,07/04/2019 12:00,2,0.5,6,0.166666667,female,0,6,8,2.68
27,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,23,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,13/04/2019 12:00,6,0.166666667,9,0.111111111,female,0,9,15,3
10,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,1,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,09/04/2019 12:00,4,0.25,6,0.166666667,female,0,6,10,2.59
11,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,2,03/04/2019 12:00,4,0.25,NA,0,04/04/2019 12:00,1,1,06/04/2019 12:00,2,0.5,5,0.2,female,0,5,7,2.53
12,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,3,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,08/04/2019 12:00,3,0.333333333,6,0.166666667,female,0,6,9,2.52
13,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,08/04/2019 12:00,3,0.333333333,6,0.166666667,female,0,6,9,NA
15,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,6,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,09/04/2019 12:00,4,0.25,6,0.166666667,female,0,6,10,2.71
16,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,7,03/04/2019 12:00,4,0.25,NA,0,04/04/2019 12:00,1,1,08/04/2019 12:00,4,0.25,5,0.2,female,0,5,9,2.61
17,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,8,03/04/2019 12:00,4,0.25,NA,0,04/04/2019 12:00,1,1,08/04/2019 12:00,4,0.25,5,0.2,female,0,5,9,2.61
20,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,11,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,08/04/2019 12:00,3,0.333333333,6,0.166666667,female,0,6,9,2.68
21,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,12,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,07/04/2019 12:00,2,0.5,6,0.166666667,female,0,6,8,2.68
22,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,13,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,08/04/2019 12:00,3,0.333333333,6,0.166666667,female,0,6,9,NA
23,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,14,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,09/04/2019 12:00,4,0.25,6,0.166666667,female,0,6,10,NA
24,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,15,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,07/04/2019 12:00,2,0.5,6,0.166666667,female,0,6,8,2.54
30,3,B,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,21,05/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,1,1,07/04/2019 12:00,1,1,7,0.142857143,female,0,7,8,2.5
15,3,C,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,3,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,07/04/2019 12:00,2,0.5,6,0.166666667,female,0,6,8,2.62
16,3,C,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,4,03/04/2019 12:00,4,0.25,NA,0,04/04/2019 12:00,1,1,07/04/2019 12:00,3,0.333333333,5,0.2,female,0,5,8,2.56
19,3,C,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,7,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,08/04/2019 12:00,3,0.333333333,6,0.166666667,female,0,6,9,2.44
23,3,C,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,11,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,06/04/2019 12:00,1,1,6,0.166666667,female,0,6,7,2.6
28,3,C,0.2,tub,32,1,32_1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,16,03/04/2019 12:00,4,0.25,NA,0,05/04/2019 12:00,2,0.5,07/04/2019 12:00,2,0.5,6,0.166666667,female,0,6,8,2.66
9,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,15,17/04/2019 12:00,18,0.055555556,NA,0,19/04/2019 12:00,2,0.5,26/04/2019 12:00,7,0.142857143,20,0.05,female,0,20,27,2.48
30,3,B,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,16,24/04/2019 12:00,25,0.04,NA,0,26/04/2019 12:00,2,0.5,30/04/2019 12:00,4,0.25,27,0.037037037,female,0,27,31,2.59
28,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,24,06/04/2019 12:00,8,0.125,NA,0,08/04/2019 12:00,2,0.5,16/04/2019 12:00,8,0.125,10,0.1,female,0,10,18,2.95
30,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,27,10/04/2019 12:00,12,0.083333333,NA,0,14/04/2019 12:00,4,0.25,28/04/2019 12:00,14,0.071428571,16,0.0625,female,0,16,30,2.93
26,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,11,26/04/2019 12:00,27,0.037037037,NA,0,28/04/2019 12:00,2,0.5,02/05/2019 12:00,4,0.25,29,0.034482759,female,0,29,33,2.39
5,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,12,27/04/2019 12:00,28,0.035714286,NA,0,29/04/2019 12:00,2,0.5,06/05/2019 12:00,7,0.142857143,30,0.033333333,female,0,30,37,2.56
24,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,13,06/05/2019 12:00,38,0.026315789,07/05/2019 12:00,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,39,39,NA
10,3,B,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,16/04/2019 12:00,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,18,NA
27,3,C,0.2,tub,22,0.1,22_0.1,24,29/03/2019 12:00,30/03/2019 12:00,1,09/05/2019 12:00,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41,41,NA
